Voucher No.,Date,Particulars,Category,Type,Quantity,AltUnits,Rate,INRvalue,Distributors
PFRN/20-21/2277,07-01-2021,"Lotus 54"" Light Sea Green",Lotus,Sales,92.45,1750,14,24500,Anantadeb Madanmohan & Co.
PFRN/20-21/2277,07-01-2021,"Lotus 54"" Badam Pink",Lotus,Sales,37.29,750,14,10500,Anantadeb Madanmohan & Co.
PFRN/20-21/2277,07-01-2021,"40 HQ 42"" White",Mesh_Fabrics,Sales,333.52,3000,28,84000,Anantadeb Madanmohan & Co.
PFRN/20-21/2277,07-01-2021,"Priyalite 54"" Blue",Priyalite,Sales,221.98,3750,15,56250,Anantadeb Madanmohan & Co.
PFRN/20-21/2277,07-01-2021,"Hanuman 54""blue",Hanuman,Sales,961.2,24000,11.5,276000,Anantadeb Madanmohan & Co.
PFRN/20-21/2277,07-01-2021,"Kangaroo Fabric 54""Blue",Kangaroo,Sales,612,7500,19,142500,Anantadeb Madanmohan & Co.
PFRN/20-21/2277,07-01-2021,"Lotus 54"" Violet",Lotus,Sales,38.25,750,14,10500,Anantadeb Madanmohan & Co.
PFRN/20-21/2277,07-01-2021,"Lotus 54"" Sky Blue",Lotus,Sales,88.56,1750,14,24500,Anantadeb Madanmohan & Co.
PFRN/20-21/2292,08-01-2021,"Priyalite 54"" Blue",Priyalite,Sales,266.4,4500,15,67500,Anantadeb Madanmohan & Co.
PFRN/20-21/2292,08-01-2021,"Kangaroo Fabric 54""Blue",Kangaroo,Sales,855.38,10500,19,199500,Anantadeb Madanmohan & Co.
PFRN/20-21/2292,08-01-2021,"Hanuman 54""blue",Hanuman,Sales,488.08,12000,11.5,138000,Anantadeb Madanmohan & Co.
PFRN/20-21/2292,08-01-2021,"Priyadarshini 54"" Blue",Priyadarshini,Sales,790.52,11250,17,191250,Anantadeb Madanmohan & Co.
PFRN/20-21/2445,22-01-2021,"Suvasini 54""Blue",Suvasini,Sales,230.5,4500,13,58500,Anantadeb Madanmohan & Co.
PFRN/20-21/2445,22-01-2021,"30 LQ 42"" White",Mesh_Fabrics,Sales,441.19,9000,14,126000,Anantadeb Madanmohan & Co.
PFRN/20-21/2445,22-01-2021,"Lotus 54"" Violet",Lotus,Sales,76.56,1500,14,21000,Anantadeb Madanmohan & Co.
PFRN/20-21/2445,22-01-2021,"Lotus 54"" Sky Blue",Lotus,Sales,200.99,4000,14,56000,Anantadeb Madanmohan & Co.
PFRN/20-21/2445,22-01-2021,"Lotus 54"" Light Sea Green",Lotus,Sales,157.17,3000,14,42000,Anantadeb Madanmohan & Co.
PFRN/20-21/2445,22-01-2021,"Lotus 54"" Badam Pink",Lotus,Sales,75.82,1500,14,21000,Anantadeb Madanmohan & Co.
PFRN/20-21/2445,22-01-2021,"Priyadarshini 54"" Blue",Priyadarshini,Sales,522.61,7500,16.5,123750,Anantadeb Madanmohan & Co.
PFRN/20-21/2445,22-01-2021,"Kangaroo Fabric 54""Blue",Kangaroo,Sales,614.44,7500,18.5,138750,Anantadeb Madanmohan & Co.
PFRN/20-21/2457,22-01-2021,"20 MQ 42"" White",Mesh_Fabrics,Sales,994.53,12000,19,228000,Anantadeb Madanmohan & Co.
PFRN/20-21/2457,22-01-2021,"40 LQ 42""ZZ  White",Mesh_Fabrics,Sales,237.33,6000,11,66000,Anantadeb Madanmohan & Co.
PFRN/20-21/2457,22-01-2021,"Suvasini 54""Blue",Suvasini,Sales,925.53,18000,13,234000,Anantadeb Madanmohan & Co.
PFRN/20-21/2475,25-01-2021,"Priyalite 54"" Sea Green",Priyalite,Sales,223.42,3750,14.5,54375,Anantadeb Madanmohan & Co.
PFRN/20-21/2475,25-01-2021,"Priyalite 54"" Blue",Priyalite,Sales,450.33,7500,14.5,108750,Anantadeb Madanmohan & Co.
PFRN/20-21/2475,25-01-2021,"Kangaroo Fabric 54""Blue",Kangaroo,Sales,926.05,11250,18.5,208125,Anantadeb Madanmohan & Co.
PFRN/20-21/2475,25-01-2021,"Priyadarshini 54"" Blue",Priyadarshini,Sales,797,11250,16.5,185625,Anantadeb Madanmohan & Co.
PFRN/20-21/2202,01-01-2021,"30 LQ 42"" Blue",Mesh_Fabrics,Sales,88.64,1800,14.5,26100,A R Traders
PFRN/20-21/2202,01-01-2021,24MESHLQ84BLACK,Mesh_Fabrics,Sales,97.85,900,29,26100,A R Traders
PFRN/20-21/2202,01-01-2021,"20 MQ 48"" White",Mesh_Fabrics,Sales,191.87,1800,23,41400,A R Traders
PFRN/20-21/2219,02-01-2021,"20 MQ 48"" White",Mesh_Fabrics,Sales,127.84,1200,23,27600,A R Traders
PFRN/20-21/2219,02-01-2021,"20 MQ 48"" IVORY",Mesh_Fabrics,Sales,179.5,1800,23,41400,A R Traders
PFRN/20-21/2266,06-01-2021,"8Mesh Hq 42"" Blue",Mesh_Fabrics,Sales,79.08,600,31,18600,A R Traders
PFRN/20-21/2266,06-01-2021,"30 LQ 42"" Green",Mesh_Fabrics,Sales,42.79,900,14.5,13050,A R Traders
PFRN/20-21/2266,06-01-2021,"30 LQ 42"" White",Mesh_Fabrics,Sales,42.3,900,14.5,13050,A R Traders
PFRN/20-21/2266,06-01-2021,"30 LQ 42"" Blue",Mesh_Fabrics,Sales,43.93,900,14.5,13050,A R Traders
